threshold,precision,recall,f1,accuracy
0.5700000000000001,0.45652173913043476,0.09210526315789473,0.15328467153284672,0.9768
0.5750000000000001,0.4444444444444444,0.08771929824561403,0.14652014652014653,0.9767
0.5800000000000001,0.4444444444444444,0.08771929824561403,0.14652014652014653,0.9767
0.5850000000000001,0.4318181818181818,0.08333333333333333,0.13970588235294118,0.9766
0.59,0.4418604651162791,0.08333333333333333,0.14022140221402213,0.9767
0.595,0.4418604651162791,0.08333333333333333,0.14022140221402213,0.9767
0.6,0.43902439024390244,0.07894736842105263,0.13382899628252787,0.9767
0.605,0.46153846153846156,0.07894736842105263,0.1348314606741573,0.9769
0.61,0.4473684210526316,0.07456140350877193,0.12781954887218044,0.9768
0.615,0.4594594594594595,0.07456140350877193,0.12830188679245283,0.9769
0.62,0.4594594594594595,0.07456140350877193,0.12830188679245283,0.9769
0.625,0.4444444444444444,0.07017543859649122,0.12121212121212122,0.9768
0.63,0.4444444444444444,0.07017543859649122,0.12121212121212122,0.9768
0.635,0.4444444444444444,0.07017543859649122,0.12121212121212122,0.9768
0.64,0.47058823529411764,0.07017543859649122,0.12213740458015267,0.977
0.645,0.48484848484848486,0.07017543859649122,0.12260536398467432,0.9771
0.65,0.48484848484848486,0.07017543859649122,0.12260536398467432,0.9771
0.655,0.5,0.07017543859649122,0.12307692307692308,0.9772
0.66,0.5,0.07017543859649122,0.12307692307692308,0.9772
0.665,0.5,0.07017543859649122,0.12307692307692308,0.9772
0.67,0.5161290322580645,0.07017543859649122,0.12355212355212356,0.9773
0.675,0.5161290322580645,0.07017543859649122,0.12355212355212356,0.9773
0.68,0.5161290322580645,0.07017543859649122,0.12355212355212356,0.9773
0.685,0.5333333333333333,0.07017543859649122,0.12403100775193798,0.9774
0.6900000000000001,0.5333333333333333,0.07017543859649122,0.12403100775193798,0.9774
0.6950000000000001,0.5333333333333333,0.07017543859649122,0.12403100775193798,0.9774
0.7000000000000001,0.5333333333333333,0.07017543859649122,0.12403100775193798,0.9774
0.7050000000000001,0.5172413793103449,0.06578947368421052,0.11673151750972763,0.9773
0.7100000000000001,0.5555555555555556,0.06578947368421052,0.11764705882352941,0.9775
0.715,0.5833333333333334,0.06140350877192982,0.1111111111111111,0.9776
0.72,0.5652173913043478,0.05701754385964912,0.10358565737051793,0.9775
0.725,0.5652173913043478,0.05701754385964912,0.10358565737051793,0.9775
0.73,0.5652173913043478,0.05701754385964912,0.10358565737051793,0.9775
0.735,0.5652173913043478,0.05701754385964912,0.10358565737051793,0.9775
0.74,0.5909090909090909,0.05701754385964912,0.104,0.9776
0.745,0.6190476190476191,0.05701754385964912,0.10441767068273092,0.9777
0.75,0.65,0.05701754385964912,0.10483870967741936,0.9778
0.755,0.65,0.05701754385964912,0.10483870967741936,0.9778
0.76,0.65,0.05701754385964912,0.10483870967741936,0.9778
0.765,0.65,0.05701754385964912,0.10483870967741936,0.9778
0.77,0.65,0.05701754385964912,0.10483870967741936,0.9778
0.775,0.65,0.05701754385964912,0.10483870967741936,0.9778
0.78,0.65,0.05701754385964912,0.10483870967741936,0.9778
0.785,0.7222222222222222,0.05701754385964912,0.10569105691056911,0.978
0.79,0.7222222222222222,0.05701754385964912,0.10569105691056911,0.978
0.795,0.7058823529411765,0.05263157894736842,0.09795918367346938,0.9779
0.8,0.7058823529411765,0.05263157894736842,0.09795918367346938,0.9779
0.805,0.75,0.05263157894736842,0.09836065573770492,0.978
0.81,0.7333333333333333,0.04824561403508772,0.09053497942386832,0.9779
0.8150000000000001,0.6923076923076923,0.039473684210526314,0.07468879668049792,0.9777
0.8200000000000001,0.6923076923076923,0.039473684210526314,0.07468879668049792,0.9777
0.8250000000000001,0.6666666666666666,0.03508771929824561,0.06666666666666667,0.9776
0.8300000000000001,0.6666666666666666,0.03508771929824561,0.06666666666666667,0.9776
